respondent_id,age,gender,educ,region,income,q1_policy_likert,q1_support_binary,q2_worry,q3_financial_stress,q4_econ_confidence,support_prob
R0000,18-34,Woman,No college,South,Over $80k,Somewhat oppose,0,Healthcare costs,4,2,0.35434369377420455
R0001,18-34,Woman,Bachelor+,Midwest,Over $80k,Neither,0,Wages not keeping up,4,3,0.3318122278318339
R0002,18-34,Man,Some college,South,Over $80k,Somewhat oppose,0,Job loss / automation,4,1,0.320821300824607
R0003,50-64,Man,Some college,Northeast,Over $80k,Somewhat oppose,0,Wages not keeping up,5,1,0.28905049737499605
R0004,50-64,Man,No college,West,Over $80k,Somewhat oppose,0,Healthcare costs,5,2,0.25922510081784605
R0005,65+,Man,Bachelor+,West,Over $80k,Somewhat oppose,1,Job loss / automation,4,2,0.18242552380635635
R0006,35-49,Man,No college,Midwest,$40k–$80k,Somewhat oppose,0,Job loss / automation,3,3,0.401312339887548
R0007,18-34,Woman,Some college,South,Under $40k,Neither,1,Wages not keeping up,3,3,0.5374298453437496
R0008,18-34,Man,No college,South,Over $80k,Somewhat oppose,0,Retirement security,3,1,0.28905049737499605
R0009,35-49,Man,Bachelor+,West,,Somewhat oppose,0,Wages not keeping up,2,2,0.24973989440488234
R0010,18-34,Man,No college,Northeast,,Neither,1,Retirement security,4,3,0.45016600268752216
R0011,35-49,Man,Bachelor+,Midwest,$40k–$80k,Somewhat oppose,0,Healthcare costs,3,2,0.34298953732650117
R0012,50-64,Woman,Bachelor+,South,,Somewhat oppose,0,Job loss / automation,4,1,0.35434369377420455
R0013,35-49,Woman,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Healthcare costs,3,1,0.29943285752602705
R0014,18-34,Man,Bachelor+,West,$40k–$80k,Somewhat oppose,0,Job loss / automation,4,2,0.389360766050778
R0015,35-49,Man,No college,Northeast,Over $80k,Somewhat oppose,0,Healthcare costs,3,3,0.29943285752602705
R0016,18-34,Woman,Bachelor+,Midwest,$40k–$80k,Neither,1,Job loss / automation,5,3,0.45016600268752216
R0017,18-34,Woman,Bachelor+,West,Over $80k,Somewhat oppose,0,Retirement security,4,1,0.3429895373265012
R0018,50-64,Woman,Bachelor+,Northeast,Over $80k,Strongly oppose,0,Wages not keeping up,4,3,0.2689414213699951
R0019,35-49,Man,No college,West,Under $40k,Neither,1,Retirement security,4,3,0.43782349911420193
R0020,18-34,Woman,Bachelor+,South,Over $80k,Neither,0,Housing costs,4,1,0.29943285752602705
R0021,18-34,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Housing costs,5,2,0.29943285752602705
R0022,18-34,Man,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Housing costs,4,3,0.2689414213699951
R0023,18-34,Woman,Some college,West,Over $80k,Neither,1,Healthcare costs,4,1,0.43782349911420193
R0024,35-49,Woman,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Wages not keeping up,5,2,0.29943285752602705
R0025,18-34,Woman,Bachelor+,South,Over $80k,Somewhat oppose,1,Job loss / automation,3,1,0.29943285752602705
R0026,35-49,Man,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Wages not keeping up,4,2,0.31002551887238755
R0027,35-49,Woman,No college,Northeast,Over $80k,Neither,0,Retirement security,4,1,0.36586440898919936
R0028,18-34,Woman,No college,South,Over $80k,Somewhat oppose,0,Housing costs,3,2,0.35434369377420455
R0029,18-34,Woman,Bachelor+,West,Over $80k,Neither,0,Housing costs,4,2,0.3429895373265012
R0030,18-34,Man,No college,South,$40k–$80k,Somewhat oppose,1,Wages not keeping up,3,2,0.401312339887548
R0031,50-64,Woman,Some college,Midwest,Over $80k,Somewhat oppose,0,Wages not keeping up,4,2,0.3429895373265012
R0032,18-34,Man,Bachelor+,West,$40k–$80k,Somewhat oppose,1,Housing costs,4,3,0.389360766050778
R0033,18-34,Woman,Bachelor+,Northeast,$40k–$80k,Somewhat oppose,1,Wages not keeping up,4,2,0.46257015465625045
R0034,18-34,Woman,No college,West,Over $80k,Neither,1,Housing costs,5,3,0.401312339887548
R0035,35-49,Woman,Bachelor+,West,Over $80k,Somewhat oppose,0,Wages not keeping up,4,2,0.31002551887238755
R0036,50-64,Man,Bachelor+,South,Over $80k,Strongly oppose,0,Housing costs,5,2,0.18242552380635635
R0037,18-34,Woman,No college,Midwest,Over $80k,Somewhat oppose,1,Retirement security,4,1,0.389360766050778
R0038,35-49,Woman,Bachelor+,South,Under $40k,Somewhat oppose,0,Job loss / automation,4,2,0.401312339887548
R0039,18-34,Woman,Bachelor+,South,$40k–$80k,Neither,0,Housing costs,4,3,0.41338242108267
R0040,18-34,Man,Bachelor+,Northeast,$40k–$80k,Neither,0,Retirement security,3,2,0.389360766050778
R0041,18-34,Woman,Bachelor+,Northeast,Over $80k,Somewhat oppose,0,Job loss / automation,4,2,0.3429895373265012
R0042,35-49,Woman,Some college,Midwest,Over $80k,Somewhat oppose,0,Job loss / automation,3,2,0.389360766050778
R0043,50-64,Man,Bachelor+,Midwest,$40k–$80k,Somewhat oppose,0,Job loss / automation,3,2,0.29943285752602705
R0044,50-64,Man,Some college,Midwest,$40k–$80k,Neither,1,Job loss / automation,2,1,0.389360766050778
R0045,18-34,Man,No college,West,Over $80k,Somewhat oppose,0,Wages not keeping up,4,2,0.3318122278318339
R0046,35-49,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Housing costs,3,1,0.2689414213699951
R0047,18-34,Man,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Healthcare costs,4,1,0.2689414213699951
R0048,35-49,Man,No college,South,Over $80k,Somewhat oppose,0,Job loss / automation,4,2,0.25922510081784605
R0049,35-49,Woman,Bachelor+,Northeast,Over $80k,Somewhat oppose,1,Housing costs,4,2,0.31002551887238755
R0050,35-49,Woman,Bachelor+,West,Over $80k,Somewhat oppose,0,Healthcare costs,4,2,0.31002551887238755
R0051,35-49,Man,No college,Northeast,Over $80k,Somewhat oppose,0,Wages not keeping up,5,2,0.29943285752602705
R0052,18-34,Man,Some college,South,Over $80k,Somewhat oppose,0,Healthcare costs,3,1,0.320821300824607
R0053,50-64,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Wages not keeping up,4,1,0.18242552380635635
R0054,50-64,Man,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Wages not keeping up,4,2,0.2689414213699951
R0055,65+,Man,Some college,West,Under $40k,Somewhat oppose,0,Wages not keeping up,4,2,0.3775406687981454
R0056,18-34,Woman,Bachelor+,South,,Neither,0,Housing costs,4,3,0.41338242108267
R0057,18-34,Man,Bachelor+,West,Over $80k,Somewhat oppose,0,Wages not keeping up,4,1,0.27888482197713693
R0058,50-64,Woman,No college,Midwest,Over $80k,Somewhat oppose,0,Job loss / automation,5,3,0.31002551887238755
R0059,18-34,Man,Bachelor+,South,,Somewhat oppose,0,Wages not keeping up,5,1,0.24048908305088898
R0060,18-34,Man,Some college,Midwest,Over $80k,Neither,1,Job loss / automation,5,2,0.35434369377420455
R0061,18-34,Woman,No college,Northeast,,Neither,1,Housing costs,3,2,0.52497918747894
R0062,35-49,Man,Bachelor+,West,Over $80k,Somewhat oppose,0,Wages not keeping up,5,1,0.24973989440488234
