respondent_id,age,gender,educ,region,income,q1_policy_likert,q1_support_binary,q2_worry,q3_financial_stress,q4_econ_confidence,support_prob,weight
R0000,18-34,Woman,No college,South,Over $80k,Somewhat oppose,0,Healthcare costs,4,2,0.3543436937742045,1.153456568147061
R0001,18-34,Woman,Bachelor+,Midwest,Over $80k,Neither,0,Wages not keeping up,4,3,0.3318122278318339,0.3835194842200946
R0002,18-34,Man,Some college,South,Over $80k,Somewhat oppose,0,Job loss / automation,4,1,0.320821300824607,0.6144883270987976
R0003,50-64,Man,Some college,Northeast,Over $80k,Somewhat oppose,0,Wages not keeping up,5,1,0.289050497374996,2.206879573988381
R0004,50-64,Man,No college,West,Over $80k,Somewhat oppose,0,Healthcare costs,5,2,0.259225100817846,3.1458533801834325
R0005,65+,Man,Bachelor+,West,Over $80k,Somewhat oppose,1,Job loss / automation,4,2,0.1824255238063563,2.5130399039696165
R0006,35-49,Man,No college,Midwest,$40k–$80k,Somewhat oppose,0,Job loss / automation,3,3,0.401312339887548,2.285133419209863
R0007,18-34,Woman,Some college,South,Under $40k,Neither,1,Wages not keeping up,3,3,0.5374298453437496,0.636678733807699
R0008,18-34,Man,No college,South,Over $80k,Somewhat oppose,0,Retirement security,3,1,0.289050497374996,1.1132547065030258
R0009,35-49,Man,Bachelor+,West,,Somewhat oppose,0,Wages not keeping up,2,2,0.2497398944048823,0.5737454535119403
R0010,18-34,Man,No college,Northeast,,Neither,1,Retirement security,4,3,0.4501660026875221,1.2697737746537208
R0011,35-49,Man,Bachelor+,Midwest,$40k–$80k,Somewhat oppose,0,Healthcare costs,3,2,0.3429895373265011,0.6969524128593626
R0012,50-64,Woman,Bachelor+,South,,Somewhat oppose,0,Job loss / automation,4,1,0.3543436937742045,1.1077097924645887
R0013,35-49,Woman,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Healthcare costs,3,1,0.299432857526027,0.7221207632023516
R0014,18-34,Man,Bachelor+,West,$40k–$80k,Somewhat oppose,0,Job loss / automation,4,2,0.389360766050778,0.31572106838939346
R0015,35-49,Man,No college,Northeast,Over $80k,Somewhat oppose,0,Healthcare costs,3,3,0.299432857526027,2.390830309734841
R0016,18-34,Woman,Bachelor+,Midwest,$40k–$80k,Neither,1,Job loss / automation,5,3,0.4501660026875221,0.3835194842200946
R0017,18-34,Woman,Bachelor+,West,Over $80k,Somewhat oppose,0,Retirement security,4,1,0.3429895373265012,0.31572106838939346
R0018,50-64,Woman,Bachelor+,Northeast,Over $80k,Strongly oppose,0,Wages not keeping up,4,3,0.2689414213699951,1.263449268332222
R0019,35-49,Man,No college,West,Under $40k,Neither,1,Retirement security,4,3,0.4378234991142019,1.8811684782909501
R0020,18-34,Woman,Bachelor+,South,Over $80k,Neither,0,Housing costs,4,1,0.299432857526027,0.35179754999887203
R0021,18-34,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Housing costs,5,2,0.299432857526027,0.35179754999887203
R0022,18-34,Man,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Housing costs,4,3,0.2689414213699951,0.37015253338017146
R0023,18-34,Woman,Some college,West,Over $80k,Neither,1,Healthcare costs,4,1,0.4378234991142019,0.5713879760084106
R0024,35-49,Woman,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Wages not keeping up,5,2,0.299432857526027,0.7221207632023516
R0025,18-34,Woman,Bachelor+,South,Over $80k,Somewhat oppose,1,Job loss / automation,3,1,0.299432857526027,0.35179754999887203
R0026,35-49,Man,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Wages not keeping up,4,2,0.3100255188723875,0.6393055930608685
R0027,35-49,Woman,No college,Northeast,Over $80k,Neither,0,Retirement security,4,1,0.3658644089891993,2.477167990379596
R0028,18-34,Woman,No college,South,Over $80k,Somewhat oppose,0,Housing costs,3,2,0.3543436937742045,1.153456568147061
R0029,18-34,Woman,Bachelor+,West,Over $80k,Neither,0,Housing costs,4,2,0.3429895373265012,0.31572106838939346
R0030,18-34,Man,No college,South,$40k–$80k,Somewhat oppose,1,Wages not keeping up,3,2,0.401312339887548,1.1132547065030258
R0031,50-64,Woman,Some college,Midwest,Over $80k,Somewhat oppose,0,Wages not keeping up,4,2,0.3429895373265012,2.1854866116674128
R0032,18-34,Man,Bachelor+,West,$40k–$80k,Somewhat oppose,1,Housing costs,4,3,0.389360766050778,0.31572106838939346
R0033,18-34,Woman,Bachelor+,Northeast,$40k–$80k,Somewhat oppose,1,Wages not keeping up,4,2,0.4625701546562504,0.40125884971929787
R0034,18-34,Woman,No college,West,Over $80k,Neither,1,Housing costs,5,3,0.401312339887548,1.035170768066239
R0035,35-49,Woman,Bachelor+,West,Over $80k,Somewhat oppose,0,Wages not keeping up,4,2,0.3100255188723875,0.5944645532886987
R0036,50-64,Man,Bachelor+,South,Over $80k,Strongly oppose,0,Housing costs,5,2,0.1824255238063563,1.0691023606390948
